name,difficulty,creators,wr,gpStyle,difficultySource,length,quality
Sans Steeple,Catastrophic,ciel_azulsky,N/A,,,Long (30+ min.),F,
Steeple of Four Pillars,Catastrophic,C_ComicallyLargeName,N/A,,,,U,
Citadel of Depressing Balance,Catastrophic,AkaChloey,N/A,,,Very Long (45+ min.),B,
Obelisk of Long,Catastrophic,Various Creators,Floor 48,,,,U,
Tower of Daunting Experiences,Catastrophic,Various Creators,Floor 10,,,,U,
Tower of Merciless Division,Catastrophic,MiGran_official,Floor 10,,,,U,
Tower of The Final Moment,Catastrophic,Various Creators,Floor 10,,,Very Short (10+ min.),U,
Steeple of Glazed Ambiance,Catastrophic,Forstaken2008xs,Floor 4,,,,U,
Steeple of Shape Hassle,Catastrophic,Forstaken2008xs,Floor 4,,,,U,
Tower of Never Clear,Catastrophic,Syfline,Floor 3,Mixed,Raw Difficulty,Extremely Short (5+ min.),C,
Steeple of Benevolence,Catastrophic,"sokol50, ilyashick",N/A,Purism,,,U,
Tower of Deception,Catastrophic,its_Rune,N/A,,,Moderate (20+ min.),U,
Tower of Moonlight Ascension,Catastrophic,SpaceSpiderYT,N/A,,,,U,
Mercadona Tower,Catastrophic,uhhbugb_4,N/A,,,Very Short (10+ min.),U,
Tower of Purely Perfect Parallelograms,Catastrophic,Temmeh8274,N/A,,,,U,
Steeple of Repetitive Tries,Catastrophic,Various Creators,N/A,,,,U,
Tower of Thje Pillar,Catastrophic,Various Creators,N/A,,,Moderate (20+ min.),U,
Tower of Volcanic Implosions,Catastrophic,ToxicToChildren,N/A,,,Very Short (10+ min.),U,
Tower of Wooden Planks,Catastrophic,Incindius,N/A,,,,U,
Tower of Asteroid Corrode Mismanagement,Catastrophic,Timur03GD,N/A,,,,U,
Tower of Anticlimactic Suffering,Catastrophic,seafoamjade,N/A,,,,U,
Citadel of Balanced Gameplay,Catastrophic,Forstaken2008xs,N/A,,,,U,
Tower of Blastproof Oxygen,Catastrophic,TotallyCoolAubrey,N/A,,,,U,
Tower of Cold and False Sonder,Catastrophic,white_eye225,N/A,,,,U,
Tower of Corruption's Embrace,Catastrophic,like_zoinks1,N/A,,,,U,
Tower of Colossal Diminutive Oscillation,Catastrophic,Various Creators,N/A,,,,U,
Tower of Cosmix Resonance,Catastrophic,tntyxz,N/A,,,,U,
Tower of Corrupted Zenith,Catastrophic,klobuck,N/A,,,,U,
Tower of Death's End,Catastrophic,tw0sxven,N/A,,,,U,
Tower of Do Not Play,Catastrophic,OMG_Devs,N/A,,,,U,
Tower of Desert Roof Peak,Catastrophic,SwetZ8,N/A,,,Short (15+ min.),U,
Tower of Extensive Change,Catastrophic,Forstaken2008xs,N/A,,,,U,
Tower of Exasperating Expedition,Catastrophic,Forstaken2008xs,N/A,,,,U,
Tower of Extensive Excruciation,Catastrophic,SHAILOU_XD,N/A,,,,U,
Tower of Floor Coating,Catastrophic,Fuzzy_Laser,N/A,,,Short (15+ min.),U,
Citadel of Focused Flames,Catastrophic,Fokil4,N/A,,,,U,
Tower of Greyscale,Catastrophic,KimoniWH,N/A,,,,U,
Tower of Hectic Corridor,Catastrophic,"Sagxtar, beiconti",N/A,,,,U,
Tower of Hellish Destiny,Catastrophic,"ChocoJToH, Puffer_Fishe",N/A,,,Moderate (20+ min.),U,
Tower of I Beat Tidal Wave,Catastrophic,retail88,N/A,,,,U,
Tower of Indeterminate Predicament,Catastrophic,arthraix,N/A,,,Short (15+ min.),B,
Tower of Light to Dark,Catastrophic,juk_n,N/A,,,,D,
Tower of Monochrome Journey,Catastrophic,Forstaken2008xs,N/A,,,,U,
Tower of Neglection,Catastrophic,joao84704,N/A,,,,U,
Tower of Omega Reality,Catastrophic,ALEXLS8,N/A,,,Short (15+ min.),U,
Tower of Over Zealous,Catastrophic,Sythull,N/A,,,,U,
Tower of Quivering,Catastrophic,Taste_Pepsi1,N/A,,,,U,
Tower of Ruthless Punishment,Catastrophic,MistakennJ,N/A,,,,U,
Spamton Steeple,Catastrophic,EpicFredMan,N/A,,,Moderate (20+ min.),D,
Tower of Skibidi Toilet,Catastrophic,Forstaken2008xs,N/A,,,,U,
Tower of Tarapop 2,Catastrophic,"sokol50, ilyashick",N/A,,,,U,
Tower of The Altruistic Serosity,Catastrophic,RealFhcBhai,N/A,,,,U,
Tower of The Disco Ball,Catastrophic,SpaceSpiderYT,N/A,,,,U,
"Tower of Treacherous, Hectic Ascent",Catastrophic,Sagxtar,N/A,,,,U,
Tower of Truss Mania,Catastrophic,Tvp3pper,N/A,,,Very Short (10+ min.),U,
Tower of The Mighty Spiral,Catastrophic,Adan3842,N/A,,,,U,
Tower of Terminal Wrap Proximity,Catastrophic,Forstaken2008xs,N/A,,,,U,
Tower of Unimaginable Hazardousness,Catastrophic,VicsDev,N/A,,,,U,
Tower of Ultimate Oblivion,Catastrophic,z_luxii,N/A,,,,U,
Tower of Vexing Endlessness,Catastrophic,MarkyDaily,N/A,,,,U,
Tower of Void Valley's Pier,Catastrophic,Starrky_1,N/A,,,,U,
Tower of Weakening Anamneses,Catastrophic,r_jlS,N/A,,,,U,
Tower of Unforgiving Trials,Catastrophic,Darklaus_IsEvil,N/A,,,,U,
Tower of Conceptual Phase,Terri/Cata,SouIIev,N/A,,,,U,
Tower of Forty Five Degrees,Terri/Cata,retailtycoon,N/A,,,Long (30+ min.),U,
Tower of Heavenly Hellish Distortion,Terri/Cata,Various Creators,N/A,,,,U,
Steeple of Was Really Bored,Terri/Cata,subdermatoglyphy,N/A,,,,U,
Tower of Convolution Meticulousness,Terrifying,re_ndical,N/A,,,Moderate (20+ min.),U,
Tower of Burning Hopes,Terrifying,Argitrator,N/A,,,,U,
Tower of Chromatic Haze,Terrifying,"XDemon, Spookytin_pot",N/A,,,Very Short (10+ min.),U,
Tower of Ceaseless Shizzling,Terrifying,AddisonJudah,N/A,,,,U,
Tower of Dumb Amethyst Jumps,Terrifying,"Telk0_0, gusdevelops",N/A,,,Very Short (10+ min.),U,
Tower of Diversified Odysseys,Terrifying,Various Creators,N/A,,,,U,
Tower of Double Up,Terrifying,P1ved,N/A,,,Very Short (10+ min.),U,
Tower of Flipping Everything,Terrifying,IceNSalt,N/A,,,Very Short (10+ min.),U,
Tower of Hateshinai Yume,Terrifying,LukiExe13,N/A,,,Long (30+ min.),U,
Tower of Juicy Gaming,Terrifying,zekarlah,N/A,,,,U,
Tower of Left Right,Terrifying,N0t_EpicXD,N/A,,,,U,
Tower of Modern Relevations,Terrifying,TheFullLegend7016456,N/A,,,,U,
Tower of Negative Feelings,Terrifying,BeatJtoh,N/A,,,,U,
Tower of Prolonged Ascendancy,Terrifying,LegendsLaZT,N/A,,,,U,
Tower of Pure Disquietude,Terrifying,grayman7171,N/A,,,Very Short (10+ min.),U,
Tower of The J is Real,Terrifying,Kinjiture,N/A,,,Very Short (10+ min.),U,
Tower of Samuel's Goofball Adventure,Terrifying,"ladive, 60mmm",N/A,,,,F,
Tower of Synthesizing The Bind,Terrifying,Simply_W,N/A,,,,U,
Tower of Seaside Wreck,Terrifying,"z_luxii, Awesomesauce11463",N/A,,,,D,
Tower of Varying Punishment,Terrifying,cloudycarmen001,N/A,,,,U,
Tower of SCP Deutschland,Terrifying,trissiboy463,N/A,,,,U,
Tower of Winter's Asylum,Terrifying,Thunder_10121,N/A,,,,U,
